title	type	year	author	country	seen
What We Become	film	2015	Bo Mikkelsen	denmark	yes
Z Island	film	2015	Hiroshi Shinagawa	japan	no
Zombie World	film	2015	various	usa	no
Another World	film	2014	Eitan Ruven	israel	no
Burying The Ex	film	2014	Joe Dante	usa	no
Chrysalis	film	2014	John Klein	usa	no
Cooties	film	2014	Jonathan Milott, Cary Murnion	usa	no
Dead Snow: Red vs. Dead	film	2014	Tommy Wirkola	norway	yes
Dead Within	film	2014	Ben Wagner	usa	no
Doc of the Dead	film	2014	Alexandre O. Philippe	switzerland	no
Goal of the Dead	film	2014	Thierry Poiraud, Benjamin Rocher	france	no
How to Kill a Zombie	film	2014	Tiffany McClean	usa	no
Life After Beth	film	2014	Jeff Baena	usa	no
Night of the Living Dead	film	2014	Chad Zuver	usa	no
Ojuju	film	2014	C.J. Obasi	nigeria	no
REC 4: Apocalypse	film	2014	Jaume Balaguero	spain	no
Reichsfuhrer SS	film	2014	David B. Stewart	usa	no
Roadkill Zoo	film	2014	Bradley Beesley	usa	no
Socialisticky Zombi Mord	film	2014	Rastislav Blazek, Peter Cermak, Zuzana Paulini	slovakia	no
The Dead and the Damned 2	film	2014	Rene Perez	usa	no
Wyrmwood: Road of the Dead	film	2014	Kiah Roache-Turner	australia	no
Zombeavers	film	2014	Jordan Rubin	usa	yes
Zombieworld	film	2014	Jesse Baget, Adrian Cardona, Rafa Dengra, Luke Guidici, Phil Haine, Cameron McCulloch, David Munoz, Adam O'Brien, Zachary Ramelan, Paul Shrimpton, Vedran Marjanovic Wesker, Tommy Woodard		no
Bath Salt Zombies	film	2013	Dustin Mills	usa	no
Battle of the Damned	film	2013	Christopher Hatton	usa	no
Before Dawn	film	2013	Dominic Brunt	uk	no
Cargo	film	2013	"Ben Howling; Yolanda Ramke"	australia	no
Contracted	film	2013	Eric England	usa	no
Dead Sands	film	2013	Ameera Al Qaed	bahrain	no
Evil Dead	film	2013	Fede Alvarez	uruguay	no
Germ Z	film	2013	J.T. Boone	usa	no
Go Goa Gone	film	2013	Raj Nidimoru, Krishna D.K.	india	no
M is for Macho	film	2013	Jose Pedro Lopes	portugal	no
Miss Zombie	film	2013	Sabu	japan	no
Open Grave	film	2013	Gonzalo Lopez-Gallego	spain	no
Outpost: Rise of the Spetsnaz	film	2013	Kieran Parker	uk	no
Pro Wrestlers vs Zombies	film	2013	Cody Knotts	usa	no
Stalled	film	2013	Christian James	uk	no
The Dead 2: India	film	2013	Howard J. Ford, Jonathan Ford	uk	no
The Dead Inside	film	2013	Andrew Gilbert	uk	no
The Last Days	film	2013	David Pastor, Alex Pastor	spain	no
The Last Days on Mars	film	2013	Ruairi Robinson	ireland	no
The Returned	film	2013	Manuel Carballo	spain	no
The Zombie King	film	2013	Aidan Belizaire	uk	no
"V/H/S/2, segment ""A Ride in the Park"""	film	2013	Eduardo Sanchez, Gregg Hale	usa	no
Warm Bodies	film	2013	Jonathan Levine	usa	no
World War Z	film	2013	Marc Forster	usa	yes
Zombie Massacre	film	2013	Luca Boni, Marco Ristori	italy	no
Zombie Night	film	2013	John Gulager	usa	no
Zombie Run	film	2013	Damian Morter	uk	no
2 Hours	film	2012	Michael Ballif	usa	no
A Little Bit Zombie	film	2012	Casey Walker	canada	no
Abraham Lincoln vs. Zombies	film	2012	Richard Schenkman	usa	no
Cockneys vs. Zombies	film	2012	Matthias Hoene	uk	no
Dead Before Dawn	film	2012	April Mullen	canada	no
Decay	film	2012	Luke Thompson	switzerland	no
Detention of the Dead	film	2012	Alex Craig Mann	usa	no
Evil Head	film	2012	Doug Sakmann	usa	no
Fist of Jesus	film	2012	David Munoz, Adrian Cardona	spain	no
Night of the Living Dead 3D: Re-Animation	film	2012	Jeff Broadstreet	usa	no
Outpost: Black Sun	film	2012	Steve Barker	uk	no
ParaNorman	film	2012	Sam Fell, Chris Butler	usa	no
Portrait of a Zombie	film	2012	Bing Bailey	ireland	no
REC 3: Genesis	film	2012	Paco Plaza	spain	no
Resident Evil: Damnation	film	2012	Makoto Kamiya	usa	no
Resident Evil: Retribution	film	2012	Paul W.S. Anderson	usa	no
Rise of the Zombies	film	2012	Nick Lyon	usa	no
"Scary or Die, segments ""The Crossing"", ""Clowned"""	film	2012	Michael Emanuel	usa	no
School of the Dead (a.k.a. Liam Hooper's School of the Dead)	film	2012	Liam Hooper	uk	no
Sick: Survive the Night	film	2012	Ryan M. Andrews	canada	no
"The ABCs of Death, segment ""W is for WTF?"""	film	2012	Jon Schnepp	usa	no
The Amazing Adventures of the Living Corpse	film	2012	Justin Paul Ritter	usa	no
The Battery	film	2012	Jeremy Gardner	usa	no
The Kirishima Thing (Kirishima, Bukatsu Yamerutteyo)	film	2012	Daihachi Yoshida	japan	no
The Zombinator	film	2012	Sergio Myers	usa	no
"V/H/S, segment ""Tape 56"""	film	2012	Adam Wingard	usa	no
Zombibi (Kill Zombie or Zombie Kill)	film	2012	Martijn Smits, Erwin van den Eshof	netherlands	no
Bled White	film	2011	Jose Carlos Gomez	usa	no
Caustic Zombies	film	2011	Johnny Daggers	usa	no
DeadHeads	film	2011	Brett Pierce, Drew T. Pierce	usa	no
Dylan Dog: Dead of Night	film	2011	Kevin Munroe	canada	no
Exit Humanity	film	2011	John Geddes	canada	no
Fading of the Cries	film	2011	Brian A. Metcalf	usa	no
First Platoon	film	2011	Chris Gabriel	usa	no
Night of the Living Carrots	film	2011	Robert Porter	usa	no
Pirates of the Caribbean: On Stranger Tides	film	2011	Rob Marshall	usa	no
Pop Punk Zombies	film	2011	Steve Dayton	usa	no
Quarantine 2: Terminal	film	2011	John Pogue	usa	no
Remains (Steve Niles' Remains)	film	2011	Colin Theys	usa	no
Remington and the Curse of the Zombadings (Zombadings 1: Patayin sa Shokot si Remington)	film	2011	Jade Castro	philippines	no
Schoolgirl Apocalypse	film	2011	John S. Cairns	japan	no
Stake Land	film	2011	Jim Mickle	ireland	no
State of Emergency	film	2011	Turner Clay	usa	no
Stitched	film	2011	Garth Ennis	usa	no
The Cabin in the Woods	film	2011	Drew Goddard	usa	yes
The Walken Dead	film	2011	Ryan Hunter	usa	no
The Zombie Diaries 2	film	2011	Michael Bartlett, Kevin Gates	uk	no
The Zombie Farm	film	2011	Ricardo Islas	usa	no
War of the Dead	film	2011	Marko Makilaakso	finland	no
War of the Dead (Stone's War)	film	2011	Marko Makilaakso	finland	no
Zombie Apocalypse	film	2011	Nick Lyon	usa	no
